incident_info,description,start_dt,quadrant,longitude,latitude,incident_count
 Southbound Shaganappi Trail at Country Hills Blvd NW ,Multi-vehicle incident. Blocking the right lane,2025-11-28 15:02:13,NW,-114.12206430893517,51.14067389683944,1
 52 Street and Home Road NW ,Traffic incident.,2025-11-28 12:52:07,NW,-114.16442595245428,51.07990005507663,1
 Airport Trail and 60 Street NE ,Traffic incident.,2025-11-28 11:37:29,NE,-113.94668684151236,51.13951508000865,1
 Scenic Acres Li and Stoney Trail NW ,Traffic incident.,2025-11-28 06:23:29,NW,-114.23175034656192,51.11852955176335,1
 Eastbound 114 Avenue and 52 Street SE ,Traffic incident.  Blocking the right lane,2025-11-28 05:43:20,SE,-113.95752366554372,50.95052214226383,1
 Southbound Crowchild Trail at Flanders Avenue SW ,Traffic incident.  Blocking the right lane,2025-11-28 05:33:49,SW,-114.11807258839156,51.01578518793258,1
 Northbound Crowchild Trail and Bow Trail SW ,Two vehicle incident. Blocking the right lane,2025-11-28 04:07:56,SW,-114.1130436904582,51.04490223875876,1
 Southbound Nose Hill Drive at 87 Street NW ,Multi-vehicle incident.,2025-11-28 03:58:46,NW,-114.21675579376188,51.104785811483374,1
 Dover Ridge Cl and 36 Street SE ,Traffic incident.,2025-11-28 03:48:03,SE,-113.9816582945966,51.02112668970858,1
 Sun Valley Boulevard and Stoney Trail SE ,Traffic incident.,2025-11-28 03:12:11,SE,-114.02521498520449,50.8949797616562,1
 Shawnessy Boulevard and James Mckevitt Road SW ,Traffic incident.,2025-11-28 01:57:09,SW,-114.10015245972532,50.91396415698208,1
 Southbound Macleod Trail and Canyon Meadows Drive SE ,Traffic incident. Blocking the right lane,2025-11-28 01:51:51,SE,-114.06865506429315,50.9312790434019,1
 Southbound 52 Street and Stoney Trail SE ,Multi-vehicle incident. Blocking the left lane,2025-11-28 01:51:01,SE,-113.95345194539196,50.90406448029309,1
 44 Avenue and 52 Street NE ,There is an incident involving a pedestrian- EMS on site.,2025-11-28 01:49:23,NE,-113.95891354426264,51.09146103087244,1
 Valiant Drive and Shaganappi Trail NW ,Traffic incident.,2025-11-28 01:41:50,NW,-114.15446299181151,51.09063823837634,1
 Westbound Memorial Drive and Edmonton Trail NE ,Two vehicle incident.,2025-11-28 00:49:57,NE,-114.04799298826778,51.05012172003249,1
 Southbound Macleod Trail and 210 Avenue SE ,Traffic incident. Blocking the left lane,2025-11-28 00:40:16,SE,-114.03170536700443,50.85836831660402,1
 Eastbound 24 Avenue and 22 Street NW ,Traffic incident. Blocking the right lane,2025-11-28 00:36:14,NW,-114.11296199464628,51.0742799849638,1
 Southbound Deerfoot Trail after Southland Drive SE ,Multi-vehicle incident. Blocking the right lane,2025-11-28 00:33:28,SE,-114.03205146433864,50.964105655346046,1
 Westbound Radcliffe Drive and 36 Street SE ,Traffic incident.,2025-11-28 00:14:30,SE,-113.98171950091,51.04815303229625,1
 Southbound 52 Street and 106 Avenue SE ,Two vehicle incident. Blocking the right lane,2025-11-28 00:05:18,SE,-113.9589581829664,50.95784607642541,1
 Westbound Stoney Trail after Country Hills Boulevard NW ,Blocking the right lane,2025-11-27 23:44:01,NW,-114.20939431657314,51.140106881161685,1
 Northbound Crowchild Trail and Flanders Avenue SW ,Traffic incident. Blocking the right lane,2025-11-27 23:32:20,SW,-114.11751604889606,51.01595098114505,1
 Eastbound Memorial Drive approaching Deerfoot Trail NE ,Two vehicle incident. Blocking the right lane,2025-11-27 23:11:06,NE,-114.02363141927208,51.04727953019471,1
 61 Avenue and Centre Street S ,Traffic incident.,2025-11-27 23:04:04,SE,-114.06382645523348,50.997734999342114,1
 Mountain View Road and Symons Valley Road NW ,Traffic incident.,2025-11-27 22:49:22,NW,-114.14118605252618,51.18865201244976,1
 52 Street and Auburn Bay Avenue SE ,Traffic incident.,2025-11-27 22:48:14,SE,-113.94262356798323,50.890959038266296,1
 6 Avenue and 7 Street SW ,Traffic incident. Blocking the two right lanes,2025-11-27 22:46:06,SW,-114.07868094925618,51.04790098945052,1
 Southbound shaganappi Trail at John Laurie Boulevard NW ,Single vehicle incident. Blocking the right lane,2025-11-27 22:34:38,NW,-114.13958450536784,51.11005958581032,1
 Westbound Richmond Road and Signal Hill Ce SW ,Two vehicle incident. Blocking the left turn lane,2025-11-27 22:29:49,SW,-114.16798699807232,51.01800911612585,1
 Southbound 19 Street at 16 Avenue NE ,Two vehicle incident. Blocking the right lane,2025-11-27 19:59:07,NE,-114.01350646245906,51.06665756988356,1
 Flint Road and Fairmount Drive SE ,Traffic incident.,2025-11-27 19:14:19,SE,-114.06361496733098,50.98830300098405,1
 Southbound Stoney Trail approaching Nose Hill Drive NW ,Single vehicle incident. Blocking the right shoulder,2025-11-27 18:29:44,NW,-114.22558059365078,51.11180073451214,1
 Southbound Deerfoot Trail approaching 17 Avenue SE ,Traffic incident. Blocking the SB exit lane,2025-11-27 18:13:11,SE,-114.00958316288632,51.04355995662445,1
 50 Avenue and 1 Street SW ,Traffic incident.,2025-11-27 18:06:15,SW,-114.0663014412624,51.00872401011285,1
 Southbound Sarcee Trail at Stoney Trail NW ,Traffic incident. Blocking the right lane,2025-11-27 17:20:19,NW,-114.16493123640956,51.15305749618067,1
 Southbound Deerfoot Trail approaching Glenmore Trail SE ,Traffic incident. Blocking the right lane,2025-11-27 17:15:42,SE,-114.0283450566042,51.00583433088552,1
 32 Avenue and Shaganappi Trail NW ,Traffic incident.,2025-11-27 15:32:10,NW,-114.15454205964927,51.08155307688634,1
 Southbound Crowchild Trail approaching Bow Trail SW ,Stalled vehicle. Blocking the left lane,2025-11-27 14:42:25,SW,-114.11424447224562,51.04561099072233,1
 Symons Valley Py and 14 Street NW ,Traffic incident.,2025-11-27 14:38:24,NW,-114.09471095467448,51.18146562360968,1
 Glenmore Trail and Crowchild Trail SW ,Stalled vehicle. Blocking the left lane on the SB to EB exit ramp,2025-11-27 14:22:56,SW,-114.11396350566328,50.99926314784199,1
 14 Street and 10 Avenue SW ,"Traffic incident. The road is closed in all directions, use alternate route",2025-11-27 09:31:49,SW,-114.09477749822024,51.04421997547336,1
 Westbound Richmond Road at 48 Street SW ,Two vehicle incident. Blocking the left lane,2025-11-27 02:41:57,SW,-114.15670338956426,51.01840425083665,1
 Country Village Road and Country Village Li NE ,Traffic incident.,2025-11-27 02:17:41,NE,-114.06818491729004,51.16035174806164,1
 52 Street and Temple Drive NE ,There is an incident involving a pedestrian- EMS on site.,2025-11-27 02:10:53,NE,-113.95850041752767,51.08588783130781,1
 Eastbound Memorial Drive after 14 Street NW ,Two vehicle incident. Blocking the right lane,2025-11-27 01:30:35,NW,-114.09114634575135,51.0507560612112,1
 Southbound Macleod Trail approaching James Mckevitt Road SW ,Two vehicle incident. Blocking the left lane,2025-11-27 01:16:47,SW,-114.07208358034195,50.92294961723274,1
 Northbound 52 Street  approaching 17 Avenue SE ,Two vehicle incident. Blocking the left lane,2025-11-27 00:59:49,SE,-113.95831166903776,51.036867873085065,1
 Eastbound Ogden Road and 50 Avenue SE ,Two vehicle incident. Blocking the right lane,2025-11-27 00:51:17,SE,-114.01146881247928,51.00722028556629,1
 Shawville Boulevard and Shalom Wy SE ,Traffic incident.,2025-11-26 23:46:16,SE,-114.06756018471847,50.90776814160761,1
 Hawkdale Gate and Hawkwood Boulevard NW ,There is an incident involving a pedestrian- EMS on site.,2025-11-26 23:28:04,NW,-114.1836581061884,51.131342650235474,1
 Westbound Mcknight Boulevard approaching Centre Street NE ,Stalled vehicle. Blocking the right lane,2025-11-26 22:01:06,NE,-114.06242749632578,51.09610337376059,1
 Southbound Crowchild Trail approaching Bow Trail SW ,Two vehicle incident. Blocking the left shoulder,2025-11-26 21:54:50,SW,-114.1150332966666,51.04235062771414,1
 Copperfield Gate and 52 Street SE ,Two vehicle incident.,2025-11-26 21:51:19,SE,-113.9494721973721,50.91045764488184,1
 Westbound McKnight Boulevard and 12 Street NE ,Traffic incident. Blocking the right lane,2025-11-26 20:48:08,NE,-114.03368456333652,51.09621155589692,1
 Northbound Deerfoot Trail at Stoney Trail NE ,Traffic incident. Blocking the left lane,2025-11-26 19:18:33,NE,-114.00100386910482,51.18068105090705,1
 12 Street and 32 Avenue NE ,Traffic incident.,2025-11-26 19:15:24,NE,-114.02964493018553,51.08197257052573,1
 Seton Way and Seton Cr SE ,Traffic incident.,2025-11-26 18:45:40,SE,-113.95872250891296,50.87951413305794,1
 36 Street b/w 16 Avenue and 12 Avenue NE ,Traffic signals issue. Train crossing arm stuck down. Crews have been dispatched.,2025-11-26 18:30:19,NE,-113.9817065746613,51.06575884741071,1
 Macleod Trail and Heritage Drive S ,Traffic incident.  Blocking the NB right lane,2025-11-26 17:51:41,SE,-114.07140407754066,50.97966952279691,1
 44 Street and 90 Avenue SE ,Traffic incident.,2025-11-26 17:38:22,SE,-113.96999703321876,50.9723009886825,1
 11 Street and 144 Avenue NE ,Traffic incident.,2025-11-26 16:32:16,NE,-114.03650254538545,51.18331504461859,1
 Grey Eagle Boulevard and Grey Eagle Drive SW ,Traffic incident.,2025-11-26 16:24:35,SW,-114.14321099636128,51.0035760029127,1
 McKnight Boulevard and Edmonton Trail NE ,Two vehicle incident. Blocking multiple lanes in the intersection,2025-11-26 16:22:28,NE,-114.05393854894744,51.096067144416686,1
 Westbound Glenmore Trail at 18 Street SE ,Two vehicle incident. Blocking the left lane,2025-11-26 16:15:38,SE,-114.02089196899824,50.98357802764684,1
 Westbound 16 Avenue at Stoney Trail NW ,Two vehicle incident. Blocking the right lane,2025-11-26 15:33:45,NW,-114.23989397421562,51.08861918681288,1
 Tuscany Boulevard north of Scenic Acres Li NW ,Traffic incident. Blocking the EB left lane,2025-11-26 14:57:59,NW,-114.23545948664196,51.12519649362015,1
 Southbound Deerfoot Trail at 32 Avenue NE ,Stalled vehicle. Blocking the right shoulder,2025-11-26 14:42:29,NE,-114.03215133543873,51.07962605162707,1
 Eastbound Bow Trail after Crowchild Trail SW ,Two vehicle incident. Blocking the left lane,2025-11-26 14:32:11,SW,-114.10821261688996,51.0445430866443,1
 23 Avenue east of 52 Street SE ,Traffic incident.,2025-11-26 14:23:12,SE,-113.95672158901068,51.03273938187485,1
 Southbound Falconridge Boulevard at 64 Avenue NE ,Traffic incident. Blocking the right lane,2025-11-26 14:18:21,NE,-113.94708899222256,51.11035026946756,1
 52 Street at 61 Avenue SE ,Traffic incident. Blocking the NB lanes,2025-11-26 12:33:54,SE,-113.95834773238722,50.99917762300498,1
 61 Avenue east of 52 Street SE ,Traffic incident. Blocking WB left lane,2025-11-26 12:33:54,SE,-113.9579998135297,50.99903689790702,1
 Northbound Stoney Trail ramp to Eastbound Glenmore Trail SW ,Traffic incident.  Blocking the right lane,2025-11-26 10:09:29,NW,-114.15911542992424,51.00784922571695,1
 Eastbound Country Hills Boulevard and Deerfoot Trail NE ,Traffic incident. Blocking the right lane,2025-11-26 09:55:26,NE,-114.01807279695365,51.15433867775192,1
 108 Avenue and 42 Street NE ,Traffic incident.,2025-11-26 07:41:24,NE,-113.97351143608095,51.1506630382735,1
 Uxbridge Drive and Ulysses Street NW ,Traffic incident.,2025-11-26 06:32:15,NW,-114.13597948240856,51.0715079575363,1
 Temple Drive and 52 Street NE ,Traffic incident.,2025-11-26 06:17:56,NE,-113.95851296803797,51.0858989829535,1
 Northbound Deerfoot Trail and 24 Street SE ,Traffic incident.,2025-11-26 05:11:07,SE,-113.99758968947806,50.94769569155316,1
 Freeport Drive and Freeport Pl NE ,There is an incident involving a pedestrian- EMS on site.,2025-11-26 05:07:48,NE,-114.0063627999383,51.15304162770003,1
 Westbound Stoney Trail and Westbound Country Hills Boulevard NE ,Traffic incident.,2025-11-26 04:07:46,NE,-113.92887370396257,51.15441355903888,1
 Northbound Macleod Trail and 210 Avenue SE ,Traffic incident.,2025-11-26 02:42:12,SE,-114.03788742934994,50.86630348939216,1
 Eastbound Memorial Drive and 10 Street NW ,Traffic incident. Blocking the right lane,2025-11-26 02:24:10,NW,-114.08586033086928,51.05196100108894,1
 14 Street and Berkshire Boulevard NW ,Traffic incident.,2025-11-26 02:03:35,NW,-114.10640843635328,51.13166480207974,1
 Southbound Centre Street and 8 Avenue NE ,There is an incident involving a pedestrian- EMS on site. Blocking the right lane,2025-11-26 01:52:29,NE,-114.0625354015288,51.05977213984463,1
 Southbound Crowchild Trail approaching Richard Road sW ,Two vehicle incident. Blocking the centre lane,2025-11-26 01:30:05,SW,-114.11799633656518,51.017074849095,1
 68 Street and Coral Springs Boulevard NE ,Traffic incident.,2025-11-26 01:24:44,NE,-113.93521925722392,51.09907766767247,1
 16 Avenue and Deerfoot Trail NE ,Two vehicle incident. Blocking the right turn lane onto WB 16 Avenue,2025-11-26 00:56:39,NE,-114.02855127153023,51.06737988287637,1
 Eastbound Peigan Trail and 25 Street SE ,Single vehicle incident. Blocking the left lane,2025-11-26 00:52:28,SE,-113.9995482036216,51.01519703463271,1
 52 Avenue and Westwinds Drive NE ,Traffic incident.,2025-11-26 00:15:23,NE,-113.97618869236516,51.10012124485648,1
 Northbound 36 Street SE at Radcliffe Drive SE ,Two vehicle incident. Blocking the right lane,2025-11-25 23:38:31,SE,-113.9815086814936,51.04823291781732,1
 Westbound Glenmore Trail and Blackfoot Trail SE ,Single vehicle incident. On ramp onto NB Blackfoot Trail,2025-11-25 23:36:44,SE,-114.04527953123898,50.99460279936413,1
 Everridge Drive and Evercreek Bluffs Gate SW ,Traffic incident.,2025-11-25 23:26:54,NW,-114.12337820747116,50.92140159371848,1
 11 Street and Portland Street SE ,Traffic incident.,2025-11-25 23:06:18,SE,-114.03675946817565,51.034115608498,1
 68 Avenue and Centre Street NE ,Traffic incident.,2025-11-25 22:54:51,NE,-114.06770762821756,51.11584447228256,1
 Dalhousie Drive and Dalford Road NW ,Traffic incident.,2025-11-25 22:54:10,NW,-114.15656125009498,51.10569168648318,1
 Memorial Drive  and 10 Street NW ,Traffic signals issue. Lane reversal Issue in the area Crews dispatched,2025-11-25 22:39:27,NW,-114.09146790640588,51.05079887081031,1
 76 Avenue and 18 Street SE ,Traffic signals are blank. Crews are dispatched,2025-11-25 22:27:47,NW,-114.01594911458436,50.98504819422712,1
 Westbound Stoney Trail and Metis Trail NE ,Single vehicle incident.,2025-11-25 20:44:15,NE,-113.96702157977788,51.175733245755815,1
 Southbound Macleod Trail and 61 Avenue SW ,Traffic incident. Blocking the two right lanes,2025-11-25 20:36:05,SW,-114.07167770683206,50.997746358575775,1
 Country Hills Boulevard and Panorama Hills Boulevard NW ,Traffic incident.,2025-11-25 18:14:54,NW,-114.0741359544982,51.148448999603865,1
 University Boulevard and 16 Avenue NW ,Traffic incident.,2025-11-25 17:09:31,NW,-114.1427745135561,51.067584032338914,1
 Northbound Crowchild Trail at Shaganappi Trail NW ,Two vehicle incident. Blocking the right lane,2025-11-25 17:06:30,NW,-114.14908466151635,51.09750981706125,1
 Symons Valley Road and Symons Valley Py NW ,Traffic incident. Blocking the SB left lane,2025-11-25 16:41:57,NW,-114.13168621493872,51.16735708809284,1
 Westbound 16 Avenue and 19 Street NE ,Traffic incident. blocking the left lane,2025-11-25 16:41:20,NW,-114.01412849447374,51.06704396354636,1
 Dalton Drive and Shaganappi Trail NW ,Traffic incident.,2025-11-25 16:27:27,NW,-114.14398632339966,51.1032792036042,1
 Northbound 52 Street at 61 Avenue SE ,Traffic incident.  Blocking the NB lanes,2025-11-25 15:43:28,SE,-113.95840219592884,50.999131434812725,1
 Northbound 52 Street at 61 Avenue SE ,Traffic incident. Blocking the right lane,2025-11-25 15:43:28,SE,-113.95829681599196,50.999080964441546,1
 Northbound 52 Street at 61 Avenue SE ,Traffic incident. The road is closed NB b/w 72 Ave SE to 61 Ave SE,2025-11-25 15:43:28,SE,-113.95834588144888,50.99917636377247,1
 52 Street at 61 Avenue SE ,Traffic incident. 52 St is closed NB b/w 72 Ave SE to 61 Ave SE and closed SB at 61 Ave SE.,2025-11-25 15:43:28,SE,-113.9585102967537,50.99900669476,1
 Eastbound Rangeview Boulevard at Heirloom Boulevard SE ,Traffic incident. Blocking the right lane,2025-11-25 15:19:43,SE,-113.91779696348084,50.88487497250652,1
 Eastbound Memorial Drive at 44 Street E ,Traffic incident. Blocking the left lane,2025-11-25 15:02:25,NE,-113.9700698464812,51.05280344159318,1
 Westbound 16 Avenue and Deerfoot Trail NE ,Two vehicle incident. blocking the left lane,2025-11-25 14:59:14,NE,-114.0285645441459,51.06738599262929,1
 Westbound 17 Avenue at 70 Street SE ,Traffic incident. Blocking the right lane,2025-11-25 14:52:08,SE,-113.9301626637317,51.03791729991296,1
 68 Avenue and 68 Street SE ,Traffic incident.,2025-11-25 13:55:53,SE,-113.93568902684687,50.994306018855205,1
 Northbound 68 Street at 68 Avenue SE ,Traffic incident. Blocking the NB lane,2025-11-25 13:55:53,SE,-113.93528916157044,50.99420601114015,1
 Southbound Stoney Trail approaching 16 Avenue NE ,Traffic incident.  Blocking the right lane,2025-11-25 13:49:38,NE,-113.92136144532866,51.07875530794144,1
 Westbound Stoney Trail and Metis Trail NE ,Traffic incident.,2025-11-25 12:59:14,NE,-113.9729062361677,51.17584020375271,1
 36 Street and 80 Avenue NE ,Traffic incident.,2025-11-25 07:54:03,NE,-113.98175549844572,51.12528295802037,1
 15 Street and 120 Avenue NE ,Traffic incident.,2025-11-25 06:03:00,NE,-114.02504094168228,51.16158001151935,1
 Northbound Stoney Trail ramp to Eastbound Glenmore Trail SW ,Traffic incident.  Blocking the right lane,2025-11-25 05:55:59,SW,-114.1597527338596,51.0073729756017,1
 Southbound Deerfoot Trail and Glenmore Trail SE ,Traffic incident.,2025-11-25 04:06:33,SE,-114.03508224332036,50.993709122970365,1
 Coventry Hills Boulevard and Country Hills Boulevard NE ,Traffic incident.,2025-11-25 03:21:20,NE,-114.05262644265731,51.15493736913224,1
 Edmonton Trail and 16 Avenue NE ,Traffic incident.,2025-11-25 03:17:46,NE,-114.0561675329716,51.0668426302625,1
 Southbound Temple Drive and 44 Avenue NE ,Traffic incident.,2025-11-25 02:27:52,NE,-113.95830123924816,51.091358421847474,1
 60 Street and 128 Avenue NE ,Traffic incident.,2025-11-25 02:04:16,NE,-113.94741802500852,51.16544680833028,1
 Canyon Meadows Drive and Lake Fraser Drive SE ,Two vehicle incident.,2025-11-25 01:15:28,SE,-114.06643666720908,50.93057380940644,1
 Northbound Deerfoot Trail and Country Hills Boulevard NE ,Traffic incident.,2025-11-25 01:05:44,NE,-114.01513866672606,51.155889344391646,1
 Northbound Deerfoot Trail and Airport Trail NE ,Traffic incident. Blocking the right lane,2025-11-25 00:08:42,NE,-114.03686932208826,51.138524295024126,1
 Lake Bonavista Drive and Acadia Drive SE ,Traffic incident.,2025-11-24 23:27:25,SE,-114.04818085381665,50.93747676721613,1
 Northbound 36 Street and 17 Avenue SE ,Traffic incident. Blocking the right lane,2025-11-24 23:24:42,SE,-113.9816833865031,51.03774857530176,1
 Southbound Deerfoot Trail and Stoney Trail SE ,Two vehicle incident. Blocking the right lane,2025-11-24 23:09:30,SE,-113.97529021380866,50.90833184066331,1
 60 Street and Airport Trail NE ,Traffic incident.,2025-11-24 23:06:59,NW,-113.94684906414686,51.13961053336693,1
 212 Avenue and Ricardo Ranch Boulevard SE ,Traffic incident.,2025-11-24 22:35:43,SE,-113.95212914574992,50.86328573950176,1
 Southbound Stoney and McKnight Blvd NE ,Two vehicle incident.  Blocking the left lane,2025-11-24 21:57:29,NE,-113.92649080823551,51.09637408182263,1
 Southbound Stoney Trail approaching 114 Avenue SE ,Traffic incident. Blocking the two left lanes,2025-11-24 21:10:51,SE,-113.92107755348948,50.95594998745278,1
 Southbound Deerfoot Trail and Mckenzie Lake Boulevard SE ,Traffic incident. Blocking the left lane,2025-11-24 20:55:15,SE,-113.97551836288343,50.91794150260142,1
 Eastbound Trans Canada Hi approaching 109 Street SW ,Traffic incident.,2025-11-24 20:52:00,SW,-114.26321497986804,51.08840072371746,1
 Southbound Stoney Trail and Peigan Trail Exit Ramp SE ,Two vehicle incident. Blocking multiple lanes,2025-11-24 20:50:41,SE,-113.92235996137236,51.0190608491152,1
 Eastbound 16 Avenue after Deerfoot Trail NE ,Traffic incident. Blocking the right lane,2025-11-24 20:39:49,NE,-114.01993213431632,51.06684183873331,1
 Southbound Deerfoot Trail and 130 Avenue SE ,Traffic incident.,2025-11-24 20:35:58,SE,-113.97564784771782,50.92871298416805,1
 Northbound Deerfoot Trail approaching Stoney Trail NE ,Multi-vehicle incident. Blocking multiple lanes,2025-11-24 20:35:57,NE,-114.01539843075597,51.17615174760406,1
 16 Avenue and Shaganappi Trail NW ,Traffic incident.,2025-11-24 20:34:16,NW,-114.14416765884636,51.06617669221036,1
 Northbound Deerfoot Trail and 32 Avenue NE ,Traffic incident.,2025-11-24 20:31:19,NE,-114.03803231364503,51.08663650238696,1
 7 Avenue and 3 Street SW ,Traffic incident.,2025-11-24 20:30:29,SW,-114.07034479254888,51.046700511083046,1
 Northbound Stoney Trail at 96 Avenue NE ,Traffic incident. Blocking the right lane,2025-11-24 20:20:26,NE,-113.92090677112328,51.13113171397726,1
 Southbound Deerfoot Trail at 17 Avenue SE ,Traffic incident.,2025-11-24 20:00:33,SE,-114.00707913291416,51.04029623091201,1
 Southbound Deerfoot Trail at McKenzie Towne Boulevard SE ,Traffic incident. Blocking the right lane,2025-11-24 19:54:27,SE,-113.97561522335909,50.92064389521235,1
 Southbound Macleod Trail at Bannister Road SE ,Two vehicle incident. Blocking the left lane,2025-11-24 19:41:26,SE,-114.07105991782969,50.92668016271959,1
 Eastbound John Laure Boulevard after Shaganappi Trail NW ,Traffic incident. Blocking the left lane,2025-11-24 19:19:36,NW,-114.13585024277198,51.1072850161848,1
 16 Avenue and 17 Street NW ,Traffic incident. Blocking the left lane EB and WB,2025-11-24 19:17:11,NW,-114.10211717757818,51.066963178335854,1
 Eastbound Glenmore Trail approaching Elbow Drive SW ,Two vehicle incident. Blocking the left lane,2025-11-24 19:10:14,SW,-114.085620282036,50.99430664118079,1
 Southbound Deerfoot Trail and 64 Avenue NE ,Two vehicle incident. Partially blocking the SB exit ramp,2025-11-24 19:00:48,NE,-114.04742307196068,51.11434141335369,1
 37 Street and Grafton Drive SW ,Traffic incident.,2025-11-24 18:59:27,SW,-114.14116806562384,51.01482598020835,1
 17 Avenue and Gateway Drive SE ,Traffic incident.,2025-11-24 18:52:25,SE,-114.1565895009662,51.03782104023186,1
 16 Avenue and 52 Street NE ,Single vehicle incident. Blocking the EB on-ramp,2025-11-24 18:46:50,NE,-113.95560625365272,51.06661971468895,1
 Parkdale Boulevard and 32 Street NW ,Traffic incident.,2025-11-24 18:45:26,NW,-114.13422894931182,51.05664900295045,1
 Westbound Stoney Trail approaching 1 Street NW ,Traffic incident. Blocking the right lane,2025-11-24 18:43:30,NW,-114.05742223709332,51.17356433719888,1
 Shawville Gate and Shawville Link SW ,There is an incident involving a pedestrian- EMS Dispatched.,2025-11-24 18:41:32,SW,-114.06730091385192,50.89865139923889,1
 Sarcee Trail and John Laurie Boulevard NW ,Two vehicle incident. Blocking multiple lanes in the intersection,2025-11-24 18:33:15,NW,-114.16658145370688,51.12080613962239,1
 68 Street and California Boulevard NE ,Traffic incident.,2025-11-24 18:23:50,NE,-113.93522551874806,51.07262403519924,1
 Southbound Deerfoot Trail at Anderson Road SE ,Traffic incident.,2025-11-24 18:14:02,SE,-114.02093565652396,50.95245937577455,1
 Stoney Trail and Bow Trail SW ,Traffic incident.,2025-11-24 18:12:31,SW,-114.22669379255588,51.05263077668693,1
 Southbound James McKevitt Road at Stoney Trail SW ,Traffic incident. Blocking the SB left turn lane,2025-11-24 18:11:01,SW,-114.09315298340871,50.89568402759609,1
 Northbound Deerfoot Trail after Memorial Drive SE ,Traffic incident. Blocking the right lane,2025-11-24 18:08:29,SE,-114.02057677836405,51.05599411613338,1
 Symons Valley Py and Evanston Vw NW ,Traffic incident.,2025-11-24 18:07:26,NW,-114.12148052237028,51.167772031055485,1
 Southbound 26 Street at 19 Avenue SE ,Multi-vehicle incident. Blocking the right lane,2025-11-24 18:05:59,SE,-113.99580899971956,51.03596699930681,1
 Southbound Stoney Trail approaching Glenmore Trail SE ,Traffic incident.,2025-11-24 17:53:38,SE,-113.92186449912464,50.98999003060615,1
 Northbound Crowchild Trail at Memorial Drive Avenue NW ,Traffic incident. Blocking the NB right lanes,2025-11-24 17:34:17,NW,-114.1147191694473,51.04680391310734,1
 Westbound Crowchild Trail approaching Sarcee Trail NW ,Traffic incident. Blocking the left lanes,2025-11-24 17:25:27,NW,-114.17327211824602,51.10870464102996,1
 Bowness Road and Bow Cr NW ,Traffic incident.,2025-11-24 16:47:36,NW,-114.17331152771412,51.08017498046409,1
 162 Avenue and Eversyde Boulevard SW ,Traffic incident.,2025-11-24 16:42:08,SW,-114.11053201611185,50.90666403730148,1
 52 Street and 44 Avenue NE ,Traffic incident. Blocking multiple lanes in the intersection,2025-11-24 16:38:07,NE,-113.95830827504268,51.09147151430397,1
 Westbound 16 Avenue at Deerfoot Trail SE ,Traffic incident. Blocking the right lane,2025-11-24 16:34:23,SE,-114.0285645441459,51.06738599262929,1
 Stoney Trail and Old Banff Coach Road SW ,Traffic incident.,2025-11-24 16:01:33,SW,-114.2255015331559,51.06704783699074,1
 Southbound Deerfoot Trail approaching Glenmore Trail SE ,Traffic incident.,2025-11-24 15:57:45,SE,-114.02472168307182,51.00837971429074,1
 Southbound Macleod Trail at 25 Avenue SE ,Hazardous Road Condition. The road is closed SB,2025-11-24 15:38:27,SE,-114.05972789231068,51.03052209230625,1
 Elbow Drive and Lansdowne Avenue SW ,Traffic incident.,2025-11-24 14:48:31,SW,-114.07828439951358,51.01688237754552,1
 Symons Valley Py at 37 Street NW ,Traffic incident. Blocking the WB right lane,2025-11-24 14:33:34,NW,-114.13937524128691,51.16813323782089,1
 Eastbound John Laurie Boulevard after Brisebois Drive NW  ,Traffic incident.,2025-11-24 14:25:58,NW,-114.12505614046724,51.10196080445835,1
 Stoney Trail at 96 Avenue NE ,Traffic incident.,2025-11-24 14:09:51,NE,-113.92070993586744,51.13644623089453,1
 Eastbound Stoney Trail at Deerfoot Trail NE ,Traffic incident. Blocking the right lane,2025-11-24 14:01:38,NE,-113.98875750361216,51.1752478736889,1
 Canyon Meadows Drive and Bow Bottom Trail SE ,Traffic incident.,2025-11-24 13:58:21,SE,-114.03224788868116,50.93115003425303,1
 Westbound Glenmore Trail approaching 14 Street SW ,Two vehicle incident. Blocking the right lane,2025-11-24 13:55:46,SW,-114.09228983430422,50.99428798858904,1
 17 Avenue and Sarcee Trail SW ,Traffic incident. Blocking the EB to NB exit ramp,2025-11-24 13:46:18,SW,-114.16271356219023,51.03937599229857,1
 4 Avenue at 3 Street SE ,Two vehicle incident. Blocking the WB right lane,2025-11-24 13:32:10,SE,-114.05539346473046,51.0490980232501,1
 Southbound 36 Street at 26 Avenue NE ,There is an incident involving a pedestrian- EMS Dispatched. Blocking the right lane,2025-11-24 13:29:13,NE,-113.98201890793348,51.07599959489907,1
 Northbound Macleod Trail after Lake Fraser Gate SE ,Traffic incident. Blocking the right lane,2025-11-24 13:27:21,SE,-114.06969163534303,50.94160728809377,1
 Eastbound Glenmore Trail at Crowchild Trail SW ,Traffic incident. Blocking the right lane,2025-11-24 13:16:31,SW,-114.117726186204,51.0002150337151,1
 16 Avenue west of Valley Ridge Boulevard NW ,Traffic incident.,2025-11-24 13:13:51,NW,-114.26123174273128,51.088502799707854,1
 128 Avenue and Metis Trail NE ,Two vehicle incident. Blocking the right lane,2025-11-24 11:32:34,NE,-113.97155002978964,51.165446536155976,1
 Canyon Meadows Drive and Deer Ridge Drive SE ,Traffic incident.,2025-11-24 04:41:24,SE,-114.02722349105365,50.93145661089662,1
